title,author,isbn,description,price,stock_quantity,category_id,cover_image_url,featured,bestseller,created_at,updated_at
The Art of French Baking,Paul Bocuse,978-0-7432-7356-5,Master the techniques of traditional French baking with step-by-step instructions and recipes from a legendary chef,34.99,50,0bcf8803-39c2-4b2f-b139-65a6d2c122c6,https://via.placeholder.com/300x400?text=French+Baking,true,true,2024-01-15 09:30:00,2024-01-15 09:30:00
Bread Basics,Peter Reinhart,978-1-58008-889-4,Learn to make artisan breads at home with foolproof methods and beautiful results,28.99,45,0bcf8803-39c2-4b2f-b139-65a6d2c122c6,https://via.placeholder.com/300x400?text=Bread+Basics,true,false,2024-01-15 10:15:00,2024-01-15 10:15:00
Plant-Based Protein Power,Meera Sodha,978-0-7432-7357-2,Delicious vegan recipes packed with protein to fuel your body and satisfy your taste buds,24.99,60,5a136dde-ebc9-4706-abe7-58c9f42c059d,https://via.placeholder.com/300x400?text=Plant+Protein,false,false,2024-01-15 11:00:00,2024-01-15 11:00:00
Quick and Easy Weeknight Dinners,Jamie Oliver,978-0-06-222955-8,30-minute meals that are nutritious and taste amazing for busy weeknights,29.99,70,02119dfb-65ff-4613-a59b-28c62ae9cb04,https://via.placeholder.com/300x400?text=Quick+Dinners,true,true,2024-01-15 11:45:00,2024-01-15 11:45:00
Mastering the Art of Cooking,Julia Child,978-0-375-10932-1,The comprehensive guide to French cuisine techniques and classic recipes,45.99,30,4245307e-d48a-435b-9db1-7d46c0a7e51b,https://via.placeholder.com/300x400?text=Cooking+Techniques,true,true,2024-01-15 12:30:00,2024-01-15 12:30:00
Chocolate Decadence,Jacques Torres,978-0-374-12389-6,Rich chocolate desserts and confections for the chocolate lover,32.99,40,e91562ec-e107-4f95-9c98-16ebdcd81ddb,https://via.placeholder.com/300x400?text=Chocolate+Decadence,false,true,2024-01-15 13:15:00,2024-01-15 13:15:00
Thai Street Food,David Thompson,978-1-78472-014-2,Authentic recipes and techniques from Thailand's vibrant street food culture,31.99,35,fb29cc43-fecd-461e-add5-f835b29b4e78,https://via.placeholder.com/300x400?text=Thai+Street+Food,false,false,2024-01-15 14:00:00,2024-01-15 14:00:00
Italian Pasta from Scratch,Marcella Hazan,978-0-394-58440-1,Classic Italian pasta recipes and techniques for making fresh pasta at home,27.99,55,fb29cc43-fecd-461e-add5-f835b29b4e78,https://via.placeholder.com/300x400?text=Italian+Pasta,true,false,2024-01-15 14:45:00,2024-01-15 14:45:00
Vegan Baking,Celine Steen,978-1-56924-289-0,Delicious plant-based baked goods without eggs or dairy,26.99,50,5a136dde-ebc9-4706-abe7-58c9f42c059d,https://via.placeholder.com/300x400?text=Vegan+Baking,false,false,2024-01-15 15:30:00,2024-01-15 15:30:00
No-Knead Bread,Jim Lahey,978-0-393-06590-2,The revolutionary method for making crusty artisan bread at home without a mixer,23.99,65,0bcf8803-39c2-4b2f-b139-65a6d2c122c6,https://via.placeholder.com/300x400?text=No-Knead+Bread,false,false,2024-01-15 16:15:00,2024-01-15 16:15:00
5 Ingredient Mediterranean,Sally Bee,978-1-78472-156-9,Quick and simple Mediterranean dishes with minimal ingredients,22.99,75,02119dfb-65ff-4613-a59b-28c62ae9cb04,https://via.placeholder.com/300x400?text=Mediterranean,false,false,2024-01-15 17:00:00,2024-01-15 17:00:00
The Professional Pastry Chef,Bo Friberg,978-0-471-46427-3,Comprehensive guide to pastry making and baking at professional level,89.99,20,4245307e-d48a-435b-9db1-7d46c0a7e51b,https://via.placeholder.com/300x400?text=Pastry+Chef,true,false,2024-01-15 17:45:00,2024-01-15 17:45:00
Macarons and More,Alison Kunz,978-0-8018-9658-5,Master the art of making French macarons and other delicate confections,30.99,40,e91562ec-e107-4f95-9c98-16ebdcd81ddb,https://via.placeholder.com/300x400?text=Macarons,false,true,2024-01-15 18:30:00,2024-01-15 18:30:00
15-Minute Meals,Ina Garten,978-0-307-46476-7,Elegant dishes that come together quickly for busy evenings,28.99,80,02119dfb-65ff-4613-a59b-28c62ae9cb04,https://via.placeholder.com/300x400?text=15min+Meals,true,false,2024-01-15 19:15:00,2024-01-15 19:15:00
The Vegetarian Cookbook,Deborah Madison,978-0-553-37381-0,Comprehensive vegetarian cooking techniques and recipes,36.99,45,5a136dde-ebc9-4706-abe7-58c9f42c059d,https://via.placeholder.com/300x400?text=Vegetarian+Cookbook,false,false,2024-01-15 20:00:00,2024-01-15 20:00:00
Korean Home Cooking,Maangchi,978-0-393-07833-9,Authentic Korean recipes and cooking techniques for home cooks,32.99,35,fb29cc43-fecd-461e-add5-f835b29b4e78,https://via.placeholder.com/300x400?text=Korean+Cooking,false,false,2024-01-15 20:45:00,2024-01-15 20:45:00
Cake Decorating Masterclass,Peggy Porschen,978-1-78472-035-7,Learn professional cake decorating techniques for beautiful cakes,38.99,25,e91562ec-e107-4f95-9c98-16ebdcd81ddb,https://via.placeholder.com/300x400?text=Cake+Decorating,true,false,2024-01-15 21:30:00,2024-01-15 21:30:00
One Pot Wonders,Heston Blumenthal,978-1-4088-0773-6,Delicious one-pot meals for every occasion,25.99,70,02119dfb-65ff-4613-a59b-28c62ae9cb04,https://via.placeholder.com/300x400?text=One+Pot,false,false,2024-01-15 22:15:00,2024-01-15 22:15:00
Fish and Seafood,Rick Stein,978-0-7432-4485-4,Comprehensive guide to cooking fish and seafood,39.99,30,4245307e-d48a-435b-9db1-7d46c0a7e51b,https://via.placeholder.com/300x400?text=Fish+Seafood,true,true,2024-01-16 08:00:00,2024-01-16 08:00:00
The Sugar Free Dessert Book,Fiona Hunter,978-1-4472-5887-9,Delicious desserts without refined sugar,24.99,50,e91562ec-e107-4f95-9c98-16ebdcd81ddb,https://via.placeholder.com/300x400?text=Sugar+Free+Desserts,false,false,2024-01-16 08:45:00,2024-01-16 08:45:00
